name,red,green,blue,primary_label,primary_label_encoded
Sweet Pastel_0,0.9294117647058824,0.7843137254901961,0.6941176470588235,Blue+Red+Yellow,2
Sweet Pea_0,0.6078431372549019,0.6313725490196078,0.3607843137254902,Red+Yellow,6
Sweet Peach_0,0.8862745098039215,0.7372549019607844,0.7019607843137254,Blue+Red+Yellow,2
Sweet Perfume_0,0.8313725490196079,0.6039215686274509,0.7254901960784313,Blue+Red+Yellow,2
Sweet Petal_0,0.796078431372549,0.7294117647058823,0.8156862745098039,Blue+Red+Yellow,2
Sweet Pink_0,0.9333333333333333,0.5686274509803921,0.5529411764705883,Blue+Red+Yellow,2
Sweet Potato_0,0.8470588235294118,0.48627450980392156,0.23137254901960785,Red+Yellow,6
Sweet Potato Peel_0,0.5686274509803921,0.4666666666666667,0.596078431372549,Blue+Red+Yellow,2
Sweet Rhapsody_0,0.5764705882352941,0.8549019607843137,0.8274509803921568,Blue+Red+Yellow,2
Sweet Romance_0,1.0,0.7686274509803922,0.8666666666666667,Blue+Red+Yellow,2
Sweet Roses_0,0.9176470588235294,0.8823529411764706,0.8666666666666667,Blue+Red+Yellow,2
Sweet Sachet_0,1.0,0.8470588235294118,0.9411764705882353,Blue+Red+Yellow,2
Sweet Scent_0,0.7803921568627451,0.7176470588235294,0.8156862745098039,Blue+Red+Yellow,2
Sweet Serenade_0,1.0,0.7725490196078432,0.8352941176470589,Blue+Red+Yellow,2
Sweet Sheba_0,0.9411764705882353,0.7254901960784313,0.6627450980392157,Blue+Red+Yellow,2
Sweet Sherry_0,0.9333333333333333,0.7411764705882353,0.7137254901960784,Blue+Red+Yellow,2
Sweet Sixteen_0,1.0,0.788235294117647,0.8274509803921568,Blue+Red+Yellow,2
Sweet Slumber_0,0.8156862745098039,0.8705882352941177,0.8666666666666667,Blue+Red+Yellow,2
Sweet Slumber Pink_0,0.9725490196078431,0.7215686274509804,0.9725490196078431,Blue+Red+Yellow,2
Sweet Sparrow_0,0.6588235294117647,0.5803921568627451,0.4196078431372549,Blue+Red+Yellow,2
Sweet Spiceberry_0,0.4823529411764706,0.27058823529411763,0.24313725490196078,Red,5
Sweet Spring_0,0.8196078431372549,0.9098039215686274,0.7607843137254902,Blue+Red+Yellow,2
Sweet Sue_0,0.8470588235294118,0.6666666666666666,0.5254901960784314,Blue+Red+Yellow,2
Sweet Surrender_0,0.788235294117647,0.8156862745098039,0.7215686274509804,Blue+Red+Yellow,2
Sweet Taffy_0,0.9254901960784314,0.7372549019607844,0.8313725490196079,Blue+Red+Yellow,2
Sweet Tart_0,0.9176470588235294,0.6823529411764706,0.6627450980392157,Blue+Red+Yellow,2
Sweet Tea_0,0.7568627450980392,0.5098039215686274,0.26666666666666666,Red+Yellow,6
Sweet Tooth_0,0.37254901960784315,0.3843137254901961,0.3333333333333333,Neutral,4
Sweet Truffle_0,0.9411764705882353,0.8627450980392157,0.8431372549019608,Blue+Red+Yellow,2
Sweet Vanilla_0,0.9333333333333333,0.9215686274509803,0.9019607843137255,Blue+Red+Yellow,2
Sweet Venom_0,0.7137254901960784,1.0,0.10196078431372549,Red+Yellow,6
Sweet Violet_0,0.5490196078431373,0.4,0.47843137254901963,Blue+Red+Yellow,2
Sweet Watermelon_0,0.9882352941176471,0.33725490196078434,0.4117647058823529,Blue+Red,1
Sweet William_0,0.5333333333333333,0.5725490196078431,0.7568627450980392,Blue+Red+Yellow,2
Sweetheart_0,0.9529411764705882,0.7647058823529411,0.8470588235294118,Blue+Red+Yellow,2
Sweetie Pie_0,0.8823529411764706,0.7333333333333333,0.8588235294117647,Blue+Red+Yellow,2
Sweetly_0,1.0,0.8980392156862745,0.9372549019607843,Blue+Red+Yellow,2
Sweetness_0,0.9725490196078431,0.8588235294117647,0.7686274509803922,Blue+Red+Yellow,2
Sweetwood_0,0.7647058823529411,0.6235294117647059,0.5294117647058824,Blue+Red+Yellow,2
